"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-02","2023","02","02","","1.7","","-10.9","","-4.6","","22.6","","0.0","","0.0","","0.6","","0.6","","14","E","32","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-03","2023","02","03","","-10.8","","-21.8","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-04","2023","02","04","","-2.5","","-21.4","","-12.0","","30.0","","0.0","","0.0","","0.8","","0.4","","14","","22","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-05","2023","02","05","","4.2","","-1.9","","1.2","","16.8","","0.0","","0.0","T","0.0","","0.0","T","13","","23","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-06","2023","02","06","","2.3","","-3.6","","-0.7","","18.7","","0.0","","0.2","","0.0","","0.2","","7","","33","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-07","2023","02","07","","7.1","","-1.0","","3.1","","14.9","","0.0","","0.0","T","0.0","","0.0","T","6","","23","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-08","2023","02","08","","7.3","","0.2","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","1","","26","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-09","2023","02","09","","6.3","","0.3","","3.3","","14.7","","0.0","","30.6","","0.0","","30.6","","","","24","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-10","2023","02","10","","4.9","","-3.0","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-11","2023","02","11","","2.4","","-4.5","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-12","2023","02","12","","6.8","","-2.8","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-13","2023","02","13","","9.1","","-2.9","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","28","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-14","2023","02","14","","9.2","","-3.0","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","33","","49",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-15","2023","02","15","","15.0","","3.9","","9.5","","8.5","","0.0","","0.6","","0.0","","0.6","","","","23","","86",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-16","2023","02","16","","5.5","","-1.1","","2.2","","15.8","","0.0","","4.6","","0.0","","4.6","","","","29","","36",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-17","2023","02","17","","0.2","","-9.5","","-4.7","","22.7","","0.0","","5.4","","0.6","","6.0","","0","T","34","","56",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-18","2023","02","18","","1.7","","-8.0","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","0","T","26","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-19","2023","02","19","","9.7","","-0.4","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","","","24","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-20","2023","02","20","","5.3","","-3.1","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","30","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-21","2023","02","21","","6.8","","-3.0","","1.9","","16.1","","0.0","","0.0","","0.0","T","0.0","T","","","29","","72",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-22","2023","02","22","","-1.3","","-7.8","","-4.6","","22.6","","0.0","","0.0","","17.4","","17.2","","1","E","9","","47",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-23","2023","02","23","","-0.8","","-8.1","","-4.5","","22.5","","0.0","","0.8","","0.8","","1.6","","17","","2","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-24","2023","02","24","","-2.7","","-10.2","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","15","","32","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-25","2023","02","25","","-2.4","","-9.2","","-5.8","","23.8","","0.0","","0.0","","2.5","","2.5","","14","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-26","2023","02","26","","2.3","","-5.7","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","14","","29","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-27","2023","02","27","","-0.1","","-7.8","","-4.0","","22.0","","0.0","","2.0","","5.4","","7.4","","10","","6","","56",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-28","2023","02","28","","1.7","","-1.2","","0.3","","17.7","","0.0","","0.8","","0.8","","1.6","","13","","29","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01","2023","03","01","","2.9","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","10","","8","","40",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-02","2023","03","02","","3.8","","-2.5","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","","","33","","36",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-03","2023","03","03","","0.4","","-5.4","","-2.5","","20.5","","0.0","","0.0","","18.6","","18.6","","6","","6","","63",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-04","2023","03","04","","5.8","","-1.5","","2.2","","15.8","","0.0","","0.0","","6.0","","6.0","","28","","6","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-05","2023","03","05","","5.0","","-2.4","","1.3","","16.7","","0.0","","0.2","","0.4","","0.6","","15","","31","","41",""
