"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 00:00","2022","02","01","00:00","-3.1","","-10.2","","58","","","","13","","9","","24.1","","100.55","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 01:00","2022","02","01","01:00","-2.5","","-9.3","","60","","","","12","","14","","24.1","","100.46","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 02:00","2022","02","01","02:00","-2.9","","-8.5","","65","","","","13","","9","","24.1","","100.51","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 03:00","2022","02","01","03:00","-3.4","","-8.4","","68","","","","15","","7","","24.1","","100.49","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 04:00","2022","02","01","04:00","-6.3","","-11.0","","69","","","","36","","3","","24.1","","100.49","","","","-8","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 05:00","2022","02","01","05:00","-4.8","","-8.7","","74","","","","12","","7","","24.1","","100.41","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 06:00","2022","02","01","06:00","-6.0","","-8.5","","82","","","","14","","7","","24.1","","100.40","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 07:00","2022","02","01","07:00","-4.4","","-8.2","","74","","","","17","","7","","24.1","","100.40","","","","-8","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 08:00","2022","02","01","08:00","-4.5","","-8.5","","74","","","","15","","8","","24.1","","100.41","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 09:00","2022","02","01","09:00","-3.2","","-7.6","","72","","","","15","","14","","24.1","","100.32","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-02-01 10:00","2022","02","01","10:00","-1.8","","-7.1","","67","","","","17","","17","","19.3","","100.31","","","","-7","","Mostly Cloudy"
