"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 00:00","2022","06","01","00:00","24.4","","16.7","","62","","","","24","","8","","24.1","","99.16","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 01:00","2022","06","01","01:00","24.2","","16.8","","63","","","","23","","5","","24.1","","99.14","","29","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 02:00","2022","06","01","02:00","24.5","","17.1","","63","","","","23","","8","","24.1","","99.09","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 03:00","2022","06","01","03:00","24.6","","17.1","","62","","","","16","","6","","24.1","","99.03","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 04:00","2022","06","01","04:00","24.5","","17.1","","63","","","","19","","8","","24.1","","99.00","","30","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 05:00","2022","06","01","05:00","23.0","","17.3","","70","","","","26","","11","","24.1","","98.99","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 06:00","2022","06","01","06:00","24.6","","17.4","","64","","","","28","","13","","24.1","","99.04","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 07:00","2022","06","01","07:00","25.1","","17.9","","64","","","","29","","13","","24.1","","99.05","","31","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 08:00","2022","06","01","08:00","25.5","","17.2","","59","","","","26","","7","","24.1","","99.05","","31","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 09:00","2022","06","01","09:00","21.1","","16.4","","74","","","","8","","22","","24.1","","99.08","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 10:00","2022","06","01","10:00","17.1","","16.0","","93","","","","13","","7","","12.9","","99.17","","","","","","Moderate Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 11:00","2022","06","01","11:00","17.8","","17.4","","98","","","","7","","12","","24.1","","99.10","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 12:00","2022","06","01","12:00","20.0","","18.8","","92","","","","9","","7","","24.1","","99.06","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 13:00","2022","06","01","13:00","23.0","","18.9","","77","","","","21","","3","","24.1","","98.93","","30","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 14:00","2022","06","01","14:00","23.1","","18.9","","77","","","","16","","17","","12.9","","98.93","","30","","","","Thunderstorms,Moderate Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 15:00","2022","06","01","15:00","21.0","","19.3","","90","","","","15","","12","","19.3","","98.89","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 16:00","2022","06","01","16:00","21.1","","18.9","","87","","","","15","","9","","19.3","","98.90","","28","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 17:00","2022","06","01","17:00","24.6","","16.8","","61","","","","31","","30","","24.1","","98.85","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 18:00","2022","06","01","18:00","21.3","","15.0","","67","","","","36","","24","","24.1","","98.90","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 19:00","2022","06","01","19:00","20.5","","13.8","","65","","","","35","","20","","24.1","","98.88","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 20:00","2022","06","01","20:00","19.7","","13.1","","65","","","","35","","19","","24.1","","98.94","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 21:00","2022","06","01","21:00","18.5","","12.8","","69","","","","29","","15","","24.1","","98.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 22:00","2022","06","01","22:00","17.3","","8.8","","57","","","","31","","20","","24.1","","98.99","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-01 23:00","2022","06","01","23:00","14.9","","7.8","","62","","","","29","","20","","24.1","","99.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-02 00:00","2022","06","02","00:00","13.2","","6.9","","65","","","","28","","14","","24.1","","99.00","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-02 01:00","2022","06","02","01:00","12.4","","6.0","","65","","","","30","","15","","24.1","","98.98","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-06-02 02:00","2022","06","02","02:00","11.8","","5.6","","66","","","","30","","14","","24.1","","98.95","","","","","","NA"
