"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 00:00","2021","04","01","00:00","1.0","","-6.8","","56","","","","33","","35","","24.1","","99.81","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 01:00","2021","04","01","01:00","0.1","","-7.8","","55","","","","35","","22","","24.1","","99.86","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 02:00","2021","04","01","02:00","-0.4","","-9.2","","52","","","","30","","22","","24.1","","99.85","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 03:00","2021","04","01","03:00","-1.3","","-9.3","","55","","","","31","","23","","24.1","","99.83","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 04:00","2021","04","01","04:00","-1.9","","-8.7","","60","","","","31","","18","","24.1","","99.80","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 05:00","2021","04","01","05:00","-2.2","","-8.9","","60","","","","31","","21","","24.1","","99.76","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 06:00","2021","04","01","06:00","-2.3","","-9.6","","58","","","","31","","22","","24.1","","99.77","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 07:00","2021","04","01","07:00","-1.6","","-9.9","","53","","","","32","","28","","24.1","","99.80","","","","-8","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 08:00","2021","04","01","08:00","-0.5","","-8.5","","55","","","","32","","35","","24.1","","99.81","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 09:00","2021","04","01","09:00","0.0","","-6.1","","63","","","","33","","29","","24.1","","99.85","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 10:00","2021","04","01","10:00","-0.8","","-5.9","","68","","","","34","","23","","24.1","","99.96","","","","-7","","Snow Grains"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 11:00","2021","04","01","11:00","-0.1","","-6.9","","60","","","","33","","33","","24.1","","99.98","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 12:00","2021","04","01","12:00","1.1","","-7.4","","53","","","","36","","29","","24.1","","99.98","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 13:00","2021","04","01","13:00","1.8","","-10.7","","39","","","","34","","36","","24.1","","100.02","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 14:00","2021","04","01","14:00","1.4","","-10.0","","43","","","","35","","38","","24.1","","100.04","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 15:00","2021","04","01","15:00","0.2","","-10.9","","43","","","","31","","44","","24.1","","100.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 16:00","2021","04","01","16:00","-2.1","","-12.0","","47","","","","34","","41","","24.1","","100.17","","","","-10","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 17:00","2021","04","01","17:00","-1.6","","-12.4","","44","","","","33","","44","","24.1","","100.22","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 18:00","2021","04","01","18:00","-1.1","","-13.6","","39","","","","34","","42","","24.1","","100.25","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 19:00","2021","04","01","19:00","-1.3","","-14.8","","35","","","","34","","35","","24.1","","100.30","","","","-9","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 20:00","2021","04","01","20:00","-1.6","","-13.7","","40","","","","33","","28","","24.1","","100.38","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 21:00","2021","04","01","21:00","-1.9","","-13.8","","40","","","","34","","18","","24.1","","100.44","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 22:00","2021","04","01","22:00","-1.6","","-17.1","","30","","","","35","","29","","24.1","","100.45","","","","-8","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01 23:00","2021","04","01","23:00","-2.0","","-17.0","","31","","","","35","","22","","24.1","","100.47","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-02 00:00","2021","04","02","00:00","-2.2","","-17.0","","32","","","","34","","26","","24.1","","100.48","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-02 01:00","2021","04","02","01:00","-2.9","","-16.6","","34","","","","35","","19","","24.1","","100.50","","","","-9","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-02 02:00","2021","04","02","02:00","-3.0","","-16.9","","34","","","","35","","21","","24.1","","100.51","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-02 03:00","2021","04","02","03:00","-3.2","","-16.9","","34","","","","34","","26","","24.1","","100.54","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-02 04:00","2021","04","02","04:00","-3.4","","-17.3","","34","","","","35","","30","","24.1","","100.59","","","","-11","","Clear"
