"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 00:00","2021","02","01","00:00","-8.5","","-14.7","","62","","","","5","","18","","24.1","","99.91","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 01:00","2021","02","01","01:00","-9.4","","-15.8","","60","","","","5","","21","","24.1","","99.91","","","","-17","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 02:00","2021","02","01","02:00","-9.9","","-16.3","","60","","","","4","","22","","24.1","","99.92","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 03:00","2021","02","01","03:00","-9.9","","-15.9","","62","","","","3","","16","","24.1","","99.92","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 04:00","2021","02","01","04:00","-10.0","","-16.2","","61","","","","3","","18","","24.1","","99.90","","","","-17","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 05:00","2021","02","01","05:00","-9.8","","-15.9","","61","","","","2","","18","","24.1","","99.88","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 06:00","2021","02","01","06:00","-10.8","","-16.2","","65","","","","35","","20","","24.1","","99.89","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 07:00","2021","02","01","07:00","-11.1","","-16.4","","66","","","","36","","18","","24.1","","99.93","","","","-19","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 08:00","2021","02","01","08:00","-11.3","","-16.8","","64","","","","36","","18","","24.1","","99.94","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01 09:00","2021","02","01","09:00","-10.5","","-16.1","","64","","","","35","","16","","24.1","","99.94","","","","-18","","NA"
