"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 00:00","2022","10","01","00:00","10.4","","3.2","","61","","","","34","","3","","24.1","","100.22","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 01:00","2022","10","01","01:00","9.9","","6.6","","80","","","","34","","7","","24.1","","100.13","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 02:00","2022","10","01","02:00","9.9","","7.0","","82","","","","35","","3","","24.1","","100.14","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 03:00","2022","10","01","03:00","9.5","","6.4","","81","","","","35","","5","","24.1","","100.12","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 04:00","2022","10","01","04:00","9.5","","6.8","","83","","","","34","","7","","24.1","","100.13","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 05:00","2022","10","01","05:00","9.2","","7.5","","89","","","","35","","9","","24.1","","100.15","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 06:00","2022","10","01","06:00","10.0","","8.5","","90","","","","34","","12","","24.1","","100.14","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 07:00","2022","10","01","07:00","10.3","","8.8","","91","","","","35","","16","","24.1","","100.12","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 08:00","2022","10","01","08:00","11.1","","8.8","","85","","","","36","","19","","24.1","","100.11","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 09:00","2022","10","01","09:00","13.3","","9.2","","76","","","","36","","16","","24.1","","100.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 10:00","2022","10","01","10:00","15.4","","9.3","","67","","","","4","","11","","24.1","","100.12","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 11:00","2022","10","01","11:00","17.0","","7.1","","52","","","","2","","9","","24.1","","100.14","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 12:00","2022","10","01","12:00","19.0","","7.0","","45","","","","2","","19","","24.1","","100.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 13:00","2022","10","01","13:00","19.4","","6.0","","41","","","","4","","13","","24.1","","100.05","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 14:00","2022","10","01","14:00","19.3","","7.3","","46","","","","2","","22","","24.1","","100.01","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 15:00","2022","10","01","15:00","19.8","","8.1","","46","","","","4","","15","","24.1","","99.97","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 16:00","2022","10","01","16:00","19.5","","8.2","","48","","","","3","","26","","24.1","","99.96","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 17:00","2022","10","01","17:00","18.7","","6.6","","45","","","","6","","15","","24.1","","99.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 18:00","2022","10","01","18:00","17.5","","8.4","","55","","","","1","","16","","24.1","","100.02","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 19:00","2022","10","01","19:00","16.7","","8.6","","59","","","","3","","17","","24.1","","100.06","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 20:00","2022","10","01","20:00","16.4","","8.3","","58","","","","5","","18","","24.1","","100.13","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 21:00","2022","10","01","21:00","15.6","","8.9","","64","","","","5","","21","","24.1","","100.18","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 22:00","2022","10","01","22:00","14.4","","8.6","","68","","","","4","","25","","24.1","","100.22","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-01 23:00","2022","10","01","23:00","12.9","","8.3","","73","","","","3","","32","","24.1","","100.28","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 00:00","2022","10","02","00:00","11.6","","5.6","","66","","","","3","","24","","24.1","","100.29","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 01:00","2022","10","02","01:00","10.9","","4.7","","65","","","","3","","21","","24.1","","100.30","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 02:00","2022","10","02","02:00","10.6","","3.8","","63","","","","2","","23","","24.1","","100.33","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 03:00","2022","10","02","03:00","10.0","","2.2","","58","","","","2","","27","","24.1","","100.38","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 04:00","2022","10","02","04:00","9.4","","2.0","","60","","","","2","","25","","24.1","","100.42","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 05:00","2022","10","02","05:00","8.8","","1.7","","61","","","","4","","20","","24.1","","100.47","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 06:00","2022","10","02","06:00","7.3","","1.1","","65","","","","4","","24","","24.1","","100.57","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 07:00","2022","10","02","07:00","6.9","","1.0","","66","","","","2","","22","","24.1","","100.65","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 08:00","2022","10","02","08:00","7.8","","0.8","","61","","","","4","","27","","24.1","","100.69","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 09:00","2022","10","02","09:00","9.0","","0.5","","55","","","","2","","25","","24.1","","100.72","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 10:00","2022","10","02","10:00","10.4","","-0.3","","48","","","","5","","19","","24.1","","100.73","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 11:00","2022","10","02","11:00","12.2","","-2.4","","36","","","","6","","19","","24.1","","100.74","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 12:00","2022","10","02","12:00","13.4","","-1.5","","36","","","","1","","18","","24.1","","100.71","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 13:00","2022","10","02","13:00","14.7","","-0.8","","35","","","","5","","17","","24.1","","100.68","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 14:00","2022","10","02","14:00","15.4","","-0.2","","34","","","","2","","17","","24.1","","100.62","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 15:00","2022","10","02","15:00","15.4","","1.0","","37","","","","1","","12","","24.1","","100.60","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 16:00","2022","10","02","16:00","15.2","","0.4","","36","","","","36","","23","","24.1","","100.62","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 17:00","2022","10","02","17:00","14.0","","1.0","","41","","","","35","","22","","24.1","","100.63","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 18:00","2022","10","02","18:00","12.7","","1.0","","44","","","","1","","17","","24.1","","100.67","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 19:00","2022","10","02","19:00","11.7","","0.8","","47","","","","6","","9","","24.1","","100.71","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 20:00","2022","10","02","20:00","10.9","","1.1","","51","","","","2","","11","","24.1","","100.75","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 21:00","2022","10","02","21:00","10.5","","0.9","","51","","","","2","","14","","24.1","","100.77","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 22:00","2022","10","02","22:00","9.2","","0.6","","55","","","","4","","13","","24.1","","100.78","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-02 23:00","2022","10","02","23:00","8.8","","0.0","","54","","","","5","","7","","24.1","","100.83","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 00:00","2022","10","03","00:00","8.4","","-0.6","","53","","","","6","","10","","24.1","","100.82","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 01:00","2022","10","03","01:00","6.9","","-0.7","","58","","","","4","","9","","24.1","","100.78","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 02:00","2022","10","03","02:00","5.1","","0.1","","70","","","","33","","7","","24.1","","100.74","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 03:00","2022","10","03","03:00","4.6","","-0.2","","71","","","","34","","12","","24.1","","100.74","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 04:00","2022","10","03","04:00","3.8","","-0.5","","73","","","","32","","12","","24.1","","100.74","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 05:00","2022","10","03","05:00","3.8","","-0.7","","73","","","","1","","9","","24.1","","100.76","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 06:00","2022","10","03","06:00","3.8","","-0.5","","73","","","","36","","12","","24.1","","100.79","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-10-03 07:00","2022","10","03","07:00","4.7","","0.0","","71","","","","1","","12","","24.1","","100.80","","","","","","Clear"
