"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 00:00","2023","02","01","00:00","-12.0","","-16.0","","72","","","","28","","11","","24.1","","100.38","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 01:00","2023","02","01","01:00","-13.9","","-18.1","","71","","","","26","","12","","24.1","","100.32","","","","-21","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 02:00","2023","02","01","02:00","-13.2","","-17.3","","72","","","","27","","8","","24.1","","100.34","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 03:00","2023","02","01","03:00","-13.5","","-17.3","","73","","","","25","","8","","24.1","","100.33","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 04:00","2023","02","01","04:00","-13.2","","-16.8","","75","","","","24","","9","","24.1","","100.30","","","","-19","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 05:00","2023","02","01","05:00","-13.0","","-16.7","","74","","","","24","","16","","24.1","","100.31","","","","-21","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 06:00","2023","02","01","06:00","-13.2","","-16.2","","79","","","","25","","18","","24.1","","100.33","","","","-21","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 07:00","2023","02","01","07:00","-11.2","","-15.0","","74","","","","22","","16","","24.1","","100.33","","","","-18","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 08:00","2023","02","01","08:00","-10.5","","-14.9","","70","","","","22","","20","","24.1","","100.37","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01 09:00","2023","02","01","09:00","-10.3","","-14.5","","72","","","","22","","18","","19.3","","100.39","","","","-18","","Snow"
