"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 00:00","2022","04","01","00:00","3.3","","-2.2","","67","","","","28","","29","","24.1","","97.97","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 01:00","2022","04","01","01:00","2.7","","-2.3","","70","","","","27","","26","","24.1","","97.97","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 02:00","2022","04","01","02:00","2.3","","-2.3","","72","","","","26","","21","","24.1","","97.94","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 03:00","2022","04","01","03:00","2.0","","-2.5","","72","","","","26","","18","","24.1","","97.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 04:00","2022","04","01","04:00","1.8","","-2.4","","73","","","","27","","18","","24.1","","98.01","","","","","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 05:00","2022","04","01","05:00","1.2","","-1.7","","81","","","","28","","19","","9.7","","98.06","","","","","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 06:00","2022","04","01","06:00","0.7","","-0.8","","90","","","","26","","15","","16.1","","98.13","","","","","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 07:00","2022","04","01","07:00","0.4","","-0.1","","96","","","","26","","16","","3.2","","98.19","","","","","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 08:00","2022","04","01","08:00","1.3","","-1.1","","84","","","","27","","23","","24.1","","98.22","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 09:00","2022","04","01","09:00","2.4","","-1.6","","75","","","","28","","25","","24.1","","98.28","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 10:00","2022","04","01","10:00","1.7","","-1.2","","81","","","","34","","16","","24.1","","98.39","","","","","","Rain Showers,Snow Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 11:00","2022","04","01","11:00","1.6","","-0.9","","84","","","","33","","18","","19.3","","98.50","","","","","","Snow Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 12:00","2022","04","01","12:00","1.5","","-2.0","","77","","","","34","","26","","16.1","","98.60","","","","","","Rain Showers,Snow Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 13:00","2022","04","01","13:00","3.2","","-2.7","","65","","","","29","","34","","24.1","","98.70","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 14:00","2022","04","01","14:00","2.6","","-5.6","","55","","","","30","","37","","24.1","","98.79","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 15:00","2022","04","01","15:00","2.5","","-6.1","","53","","","","31","","42","","24.1","","98.89","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 16:00","2022","04","01","16:00","2.5","","-6.2","","53","","","","30","","38","","24.1","","99.03","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 17:00","2022","04","01","17:00","2.0","","-5.8","","56","","","","30","","35","","24.1","","99.17","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 18:00","2022","04","01","18:00","1.0","","-6.0","","60","","","","30","","44","","24.1","","99.32","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 19:00","2022","04","01","19:00","0.3","","-6.1","","62","","","","31","","39","","24.1","","99.45","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 20:00","2022","04","01","20:00","-0.1","","-6.0","","65","","","","31","","35","","24.1","","99.57","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 21:00","2022","04","01","21:00","-0.5","","-6.5","","64","","","","30","","41","","24.1","","99.66","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 22:00","2022","04","01","22:00","-0.7","","-6.3","","66","","","","29","","34","","24.1","","99.74","","","","-8","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-01 23:00","2022","04","01","23:00","-0.4","","-6.3","","65","","","","32","","25","","24.1","","99.83","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 00:00","2022","04","02","00:00","-0.9","","-7.1","","63","","","","30","","26","","24.1","","99.86","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 01:00","2022","04","02","01:00","-1.7","","-6.8","","68","","","","29","","15","","24.1","","99.89","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 02:00","2022","04","02","02:00","-2.0","","-6.8","","70","","","","29","","13","","24.1","","99.89","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 03:00","2022","04","02","03:00","-2.3","","-7.2","","69","","","","28","","10","","24.1","","99.91","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 04:00","2022","04","02","04:00","-2.8","","-7.0","","73","","","","26","","6","","24.1","","99.97","","","","-5","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 05:00","2022","04","02","05:00","-2.5","","-6.8","","72","","","","23","","6","","24.1","","99.99","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 06:00","2022","04","02","06:00","-2.8","","-6.8","","74","","","","24","","8","","24.1","","100.03","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 07:00","2022","04","02","07:00","-1.6","","-4.7","","79","","","","26","","11","","24.1","","100.08","","","","-5","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 08:00","2022","04","02","08:00","0.3","","-4.7","","69","","","","28","","14","","24.1","","100.06","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 09:00","2022","04","02","09:00","2.0","","-5.3","","59","","","","18","","4","","24.1","","100.04","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 10:00","2022","04","02","10:00","2.7","","-6.1","","53","","","","22","","4","","24.1","","100.00","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 11:00","2022","04","02","11:00","3.5","","-5.3","","52","","","","15","","16","","24.1","","99.88","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 12:00","2022","04","02","12:00","3.6","","-5.5","","51","","","","14","","15","","24.1","","99.81","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2022-04-02 13:00","2022","04","02","13:00","4.2","","-5.3","","50","","","","13","","14","","24.1","","99.73","","","","","","Mostly Cloudy"
