"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 00:00","2023","01","01","00:00","3.3","","3.3","","100","","","","27","","14","","24.1","","99.07","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 01:00","2023","01","01","01:00","3.1","","3.1","","100","","","","27","","11","","24.1","","99.08","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 02:00","2023","01","01","02:00","3.4","","2.9","","96","","","","26","","9","","24.1","","99.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 03:00","2023","01","01","03:00","3.7","","1.6","","86","","","","27","","19","","24.1","","99.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 04:00","2023","01","01","04:00","3.4","","1.6","","88","","","","28","","8","","24.1","","99.18","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 05:00","2023","01","01","05:00","3.1","","2.6","","97","","","","26","","8","","24.1","","99.22","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 06:00","2023","01","01","06:00","3.5","","2.4","","93","","","","25","","18","","24.1","","99.30","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 07:00","2023","01","01","07:00","3.2","","-0.3","","78","","","","29","","21","","24.1","","99.38","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 08:00","2023","01","01","08:00","2.9","","-0.1","","81","","","","28","","21","","24.1","","99.37","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 09:00","2023","01","01","09:00","3.0","","0.7","","85","","","","26","","7","","24.1","","99.36","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 10:00","2023","01","01","10:00","3.2","","0.3","","81","","","","23","","10","","24.1","","99.38","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 11:00","2023","01","01","11:00","2.9","","0.7","","85","","","","21","","10","","9.7","","99.38","","","","","","Rain,Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 12:00","2023","01","01","12:00","2.7","","2.7","","100","","","","17","","10","","9.7","","99.31","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 13:00","2023","01","01","13:00","2.9","","2.9","","100","","","","18","","7","","16.1","","99.26","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 14:00","2023","01","01","14:00","3.1","","3.1","","100","","","","20","","13","","6.4","","99.27","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 15:00","2023","01","01","15:00","3.2","","3.2","","100","","","","21","","8","","8.1","","99.28","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 16:00","2023","01","01","16:00","3.4","","3.4","","100","","","","18","","6","","9.7","","99.26","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 17:00","2023","01","01","17:00","3.4","","3.3","","99","","","","21","","11","","8.1","","99.32","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 18:00","2023","01","01","18:00","3.1","","3.1","","100","","","","21","","8","","9.7","","99.35","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 19:00","2023","01","01","19:00","3.4","","3.4","","100","","","","22","","10","","9.7","","99.42","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 20:00","2023","01","01","20:00","2.9","","2.9","","100","","","","24","","14","","16.1","","99.44","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 21:00","2023","01","01","21:00","3.2","","3.2","","100","","","","22","","10","","16.1","","99.44","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 22:00","2023","01","01","22:00","3.6","","3.6","","100","","","","20","","12","","9.7","","99.44","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01 23:00","2023","01","01","23:00","3.9","","3.9","","100","","","","21","","12","","9.7","","99.46","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 00:00","2023","01","02","00:00","4.1","","4.1","","100","","","","23","","10","","9.7","","99.50","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 01:00","2023","01","02","01:00","4.1","","4.1","","100","","","","21","","7","","9.7","","99.51","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 02:00","2023","01","02","02:00","4.4","","4.3","","99","","","","22","","7","","16.1","","99.53","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 03:00","2023","01","02","03:00","4.5","","3.7","","95","","","","27","","13","","16.1","","99.59","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 04:00","2023","01","02","04:00","4.3","","3.7","","96","","","","31","","16","","16.1","","99.59","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 05:00","2023","01","02","05:00","4.0","","1.8","","85","","","","29","","18","","16.1","","99.65","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 06:00","2023","01","02","06:00","3.6","","1.8","","88","","","","29","","14","","16.1","","99.69","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 07:00","2023","01","02","07:00","3.5","","2.0","","90","","","","29","","10","","24.1","","99.74","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 08:00","2023","01","02","08:00","3.4","","1.3","","86","","","","31","","13","","19.3","","99.75","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02 09:00","2023","01","02","09:00","3.4","","1.7","","89","","","","31","","11","","19.3","","99.79","","","","","","NA"
