"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 00:00","2020","09","01","00:00","20.0","","17.4","","85","","","","16","","5","","24.1","","99.29","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 01:00","2020","09","01","01:00","19.7","","17.4","","87","","","","15","","7","","24.1","","99.28","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 02:00","2020","09","01","02:00","19.3","","17.4","","88","","","","15","","5","","24.1","","99.28","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 03:00","2020","09","01","03:00","19.4","","17.6","","89","","","","14","","4","","24.1","","99.30","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 04:00","2020","09","01","04:00","19.4","","17.9","","91","","","","15","","6","","24.1","","99.31","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 05:00","2020","09","01","05:00","19.2","","18.1","","93","","","","16","","5","","24.1","","99.32","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 06:00","2020","09","01","06:00","19.2","","17.8","","91","","","","21","","5","","24.1","","99.35","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 07:00","2020","09","01","07:00","20.1","","18.8","","92","","","","22","","5","","24.1","","99.39","","27","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 08:00","2020","09","01","08:00","21.5","","18.9","","85","","","","22","","14","","24.1","","99.42","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-09-01 09:00","2020","09","01","09:00","23.8","","19.0","","74","","","","19","","12","","24.1","","99.40","","31","","","","NA"
