"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 00:00","2021","12","01","00:00","2.4","","-1.3","","77","","","","27","","30","","24.1","","99.23","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 01:00","2021","12","01","01:00","2.4","","-1.6","","75","","","","27","","24","","24.1","","99.32","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 02:00","2021","12","01","02:00","2.2","","-3.6","","66","","","","27","","25","","24.1","","99.42","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 03:00","2021","12","01","03:00","1.4","","-4.3","","66","","","","27","","20","","24.1","","99.52","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 04:00","2021","12","01","04:00","0.8","","-3.8","","72","","","","25","","14","","24.1","","99.54","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 05:00","2021","12","01","05:00","1.2","","-2.8","","75","","","","26","","13","","24.1","","99.62","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 06:00","2021","12","01","06:00","1.3","","-2.5","","76","","","","26","","14","","24.1","","99.65","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 07:00","2021","12","01","07:00","0.5","","-3.6","","74","","","","28","","12","","24.1","","99.69","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 08:00","2021","12","01","08:00","-0.3","","-4.0","","76","","","","25","","14","","24.1","","99.77","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 09:00","2021","12","01","09:00","1.4","","-3.1","","72","","","","24","","13","","24.1","","99.84","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 10:00","2021","12","01","10:00","2.0","","-1.6","","77","","","","24","","14","","24.1","","99.86","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 11:00","2021","12","01","11:00","3.2","","-1.3","","72","","","","25","","10","","24.1","","99.82","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 12:00","2021","12","01","12:00","4.0","","-2.4","","63","","","","18","","12","","24.1","","99.74","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 13:00","2021","12","01","13:00","4.6","","-3.5","","55","","","","21","","17","","24.1","","99.62","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 14:00","2021","12","01","14:00","4.5","","-4.3","","53","","","","20","","21","","24.1","","99.54","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 15:00","2021","12","01","15:00","4.4","","-3.2","","57","","","","22","","18","","24.1","","99.53","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 16:00","2021","12","01","16:00","4.6","","-2.7","","59","","","","19","","13","","24.1","","99.47","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2021-12-01 17:00","2021","12","01","17:00","4.2","","-1.3","","67","","","","19","","13","","24.1","","99.49","","","","","","Rain"
